,MSPP0,MSPP1,MSPP2,MSPP3,MSPP4,MSPP5,MSPP6
it1,15.96131942,18.10663521,17.26092156,19.51102071,24.90748611,18.10663521,18.7355685
it2,17.34800356,18.63550499,20.85912895,19.6597263,23.82138661,18.63550499,20.85912895
it3,13.8458127,14.54089791,14.54089791,14.54089791,18.56166765,14.54089791,14.54089791
it4,18.48995478,20.45908872,18.96951285,20.45908872,24.82208231,20.45908872,23.16970406
it5,17.66012647,19.42628384,19.68458778,20.54411239,23.83663381,19.42628384,19.68458778
it6,17.15558491,19.89352115,22.19692327,19.89352115,22.19692327,19.89352115,22.19692327
it7,16.13147592,17.14999143,18.0899235,18.15365018,20.43214741,17.14999143,18.0899235
it8,14.90914967,15.63391835,16.39276878,16.6931706,19.6208841,15.63391835,15.63391835
it9,16.12084605,18.01360085,18.79632334,18.01360085,21.39651295,18.01360085,18.79632334
it10,18.13351591,19.01424985,20.48940885,19.01424985,20.48940885,19.01424985,20.48940885
it11,16.58495456,17.84771494,18.47140935,17.84771494,21.95300476,17.84771494,18.47140935
it12,17.96898279,19.05812057,20.44472713,19.05812057,21.55010154,19.05812057,20.44472713
it13,14.07119833,14.07119833,14.07119833,18.56599697,24.02656707,15.3101923,17.11191214
it14,15.88835563,18.77630515,17.55803626,18.77630515,22.35498517,18.77630515,20.32647785
it15,13.59309412,16.2516322,14.91811277,16.2516322,16.74252068,16.2516322,15.59681032
it16,17.74620194,18.31099714,20.79357313,19.9104721,22.32958487,18.31099714,20.79357313
it17,18.17305687,19.16328318,19.90945618,19.16328318,21.12793978,19.16328318,19.90945618
it18,15.77880587,16.83668157,18.03613414,16.83668157,18.03613414,16.83668157,18.03613414
it19,15.16788598,16.71336098,15.44194858,18.90587449,22.99299899,18.90587449,18.19813168
it20,13.83987626,16.565726,13.83987626,16.565726,21.29078322,16.565726,18.66435057
it21,19.51106255,20.54615828,22.42310579,20.54615828,24.9257918,20.54615828,23.62699939
it22,17.07336801,18.46445987,19.78369066,18.46445987,24.55216009,18.46445987,18.53417377
it23,14.9673684,17.98859727,17.70384668,17.98859727,21.61147254,17.98859727,17.70384668
it24,17.77934645,18.56293369,19.21274039,18.56293369,21.30533186,18.56293369,19.23962295
it25,14.12484217,15.45601803,15.13620479,16.5047489,19.59630608,15.45601803,17.16082861
it26,17.01320767,17.32555426,17.89613693,17.32555426,23.03278639,17.32555426,17.32555426
it27,17.70998344,19.16528444,18.55548392,19.16528444,20.04617733,19.16528444,20.43590457
it28,18.0478184,18.60598496,19.44420024,18.60598496,20.63448959,18.60598496,19.44420024
it29,14.65576816,15.17526819,15.63828328,16.27680214,22.01082729,15.17526819,15.83535466
it30,21.48962725,23.0988324,22.74417254,23.0988324,25.06789368,23.0988324,24.05085187
it31,17.41556705,17.91825607,22.02093315,18.9416517,22.02093315,17.91825607,22.02093315
it32,19.92307436,20.85319161,24.34687308,21.98073501,25.51386962,20.85319161,24.34687308
it33,12.37769847,13.61772587,14.01426073,13.61772587,16.92034701,13.61772587,14.01426073
it34,14.90283859,17.22964872,16.41070455,17.22964872,23.47444292,17.22964872,17.8910759
it35,16.64364811,18.70771515,18.21179686,18.70771515,21.89666556,18.70771515,18.45522021
it36,13.31384945,14.39262897,15.5830846,15.40011161,17.25737097,14.39262897,17.25737097
it37,13.86012617,16.11887906,16.72947873,17.42786518,17.68569195,16.11887906,15.45779898
it38,15.46166031,16.91105477,16.29721257,16.91105477,20.89759013,16.91105477,18.7656029
it39,10.78519843,12.44175132,14.34225557,12.44175132,15.98814115,12.44175132,13.85340726
it40,17.96368072,20.19967931,18.50605791,20.19967931,23.86840827,20.19967931,20.09890466
it41,20.27851192,21.70935769,24.07755321,21.70935769,24.07755321,21.70935769,24.07755321
it42,14.16012156,16.56716206,15.67906334,16.56716206,21.68631044,16.56716206,17.35289856
it43,15.10856458,16.96348899,15.12919114,18.26264476,20.17584429,16.96348899,18.28725381
it44,17.46806459,19.85866199,17.46806459,19.85866199,24.4199493,19.85866199,21.99755236
it45,17.44844344,18.90136283,18.09967667,18.90136283,21.58129595,18.90136283,20.13499828
it46,14.56912551,15.36148653,15.53354768,15.36148653,17.80144779,15.36148653,17.80144779
it47,16.38465595,17.64410281,18.36653884,17.64410281,19.38275009,17.64410281,18.36653884
it48,19.86885112,21.55344785,21.41046581,21.55344785,24.06096193,21.55344785,24.06096193
it49,15.94188068,18.67589126,18.40219648,18.67589126,22.81901901,18.67589126,22.81901901
it50,17.06929534,18.2515786,19.02825063,18.2515786,20.88960037,18.2515786,19.02825063
it51,18.51048476,20.64924274,20.52276855,20.64924274,24.21769831,20.64924274,21.6777051
it52,10.933136,13.79949708,11.69764071,13.79949708,19.16171507,13.79949708,13.42292589
it53,17.84803999,18.48886105,18.58628475,18.48886105,20.60018377,18.48886105,20.60018377
it54,20.49029475,21.12346215,23.36923851,21.12346215,24.54074195,21.12346215,23.36923851
it55,18.49632863,18.80504868,20.8460551,19.89036967,22.55877407,18.80504868,21.11273815
it56,16.09710158,19.29959284,18.52816885,19.29959284,24.05072436,19.29959284,20.52448683
it57,16.75457767,20.7028335,18.58390561,20.7028335,25.62047435,20.7028335,21.57220422
it58,17.77648972,18.46888964,18.46888964,18.46888964,19.78751239,18.46888964,18.46888964
it59,18.87717879,19.42811867,22.18395583,19.42811867,22.18395583,19.42811867,22.18395583
it60,20.5887117,20.88472509,22.15722051,20.88472509,25.95955069,20.88472509,22.32551394
it61,16.27519423,17.54965453,18.46247859,17.54965453,21.25162108,17.54965453,19.02531434
it62,17.96500654,19.30152101,19.99127504,21.02410726,24.34634533,19.93315073,20.14101231
it63,18.08054839,18.96954034,21.61684992,18.96954034,21.61684992,18.96954034,21.61684992
it64,17.39312487,20.20260939,20.2939033,20.20260939,24.04043304,20.20260939,22.63013777
it65,16.49840251,17.159087,19.25911919,17.159087,19.25911919,17.159087,19.25911919
it66,17.66293626,18.23545879,19.28009033,18.23545879,20.33119926,18.23545879,20.33119926
it67,12.38526696,14.09143539,16.48987284,14.09143539,16.48987284,14.09143539,16.48987284
it68,16.31922095,17.36977288,19.69605038,17.36977288,19.69605038,17.36977288,19.69605038
