,MSPP0,MSPP1,MSPP2,MSPP3,MSPP4,MSPP5,MSPP6
it32,9.147571236,9.147571236,9.147571236,9.147571236,9.147571236,9.147571236,9.147571236
it33,6.611829316,6.611829316,6.611829316,6.611829316,6.611829316,6.611829316,6.611829316
it34,7.417667276,7.524244084,7.524244084,7.524244084,8.625868276,7.524244084,7.524244084
it35,7.76811803,7.76811803,7.76811803,7.76811803,7.76811803,7.76811803,7.76811803
it36,5.78588613,5.973106506,5.973106506,5.973106506,5.973106506,5.973106506,5.973106506
it37,5.49647774,5.737196436,5.737196436,5.737196436,5.737196436,5.737196436,5.737196436
it38,7.169761452,7.494997056,8.43516638,7.494997056,8.43516638,7.494997056,8.43516638
it39,4.542090482,5.00825781,5.398182946,5.00825781,5.398182946,5.00825781,5.398182946
it40,10.20275876,10.20275876,10.20275876,10.20275876,10.20275876,10.20275876,10.20275876
it41,8.787960506,9.25585832,9.25585832,9.25585832,9.25585832,9.25585832,9.25585832
it42,6.741929972,6.8931333,7.323707572,6.8931333,7.323707572,6.8931333,7.323707572
it43,7.435935292,8.322672226,8.322672226,8.322672226,8.322672226,8.322672226,8.322672226
it44,9.378334826,9.404038214,9.691695188,9.404038214,9.691695188,9.404038214,9.691695188
it45,8.2195399,8.2195399,8.2195399,8.2195399,8.2195399,8.2195399,8.2195399
it46,6.604159462,6.604159462,6.990076264,6.604159462,6.990076264,6.604159462,6.990076264
it47,7.52450699,7.52450699,7.52450699,7.52450699,7.52450699,7.52450699,7.52450699
it48,10.78260575,11.05337858,11.87241659,11.05337858,11.87241659,11.05337858,11.87241659
it49,8.153226008,8.153226008,8.153226008,8.153226008,8.153226008,8.153226008,8.153226008
it50,11.58509139,11.58509139,11.58509139,11.58509139,11.58509139,11.58509139,11.58509139
it51,9.474173272,9.88512186,9.88512186,9.88512186,9.88512186,9.88512186,9.88512186
it52,6.194693922,7.473022888,7.89540275,7.473022888,7.89540275,7.473022888,7.89540275
it53,9.09758343,9.45041435,9.45041435,9.45041435,9.45041435,9.45041435,9.45041435
it54,10.66218774,10.66218774,10.66218774,10.66218774,10.66218774,10.66218774,10.66218774
it55,8.462678798,8.462678798,8.594223762,8.462678798,8.594223762,8.462678798,8.594223762
it56,7.675204754,7.68780709,7.746718006,7.68780709,7.746718006,7.68780709,7.746718006
it57,7.486935956,8.372607738,9.071337618,8.372607738,10.25455699,8.372607738,9.071337618
it58,7.064898362,7.757298282,7.757298282,7.757298282,7.757298282,7.757298282,7.757298282
it59,8.941999218,9.07452197,9.647032972,9.07452197,9.647032972,9.07452197,9.647032972
it60,10.08362525,10.08362525,10.08362525,10.08362525,10.08362525,10.08362525,10.08362525
it61,7.53410649,7.53410649,7.809955518,7.53410649,7.809955518,7.53410649,7.809955518
it62,9.18933212,10.02014275,10.02014275,10.02014275,10.02014275,10.02014275,10.02014275
it63,9.653760692,9.66688579,10.15976278,9.66688579,10.15976278,9.66688579,10.15976278
it64,6.450475762,6.450475762,6.450475762,6.450475762,6.450475762,6.450475762,6.450475762
it65,9.07128093,9.07128093,9.07128093,9.07128093,9.07128093,9.07128093,9.07128093
it66,8.069545652,8.383756328,8.383756328,8.383756328,8.383756328,8.383756328,8.383756328
it67,5.348225486,5.897654976,5.914293556,5.897654976,7.01197277,5.897654976,5.914293556
it68,8.8975455,8.8975455,9.241277216,8.8975455,9.241277216,8.8975455,9.241277216
it69,6.24862592,6.24862592,6.24862592,6.24862592,6.24862592,6.24862592,6.24862592
it70,5.317636016,6.483118532,7.206221932,6.483118532,7.206221932,6.483118532,7.206221932
