,MSPP0,MSPP1,MSPP2,MSPP3,MSPP4,MSPP5,MSPP6
it1,23.73598303,27.70351754,25.11709001,34.33211614,29.73002424,32.90495489,28.6535088
it2,26.59075078,32.26645345,28.40492968,36.0226215,34.42003903,34.05042828,32.84002989
it3,19.76256825,27.4296586,21.92368629,31.49627604,27.27232044,27.4296586,24.4784232
it4,27.88641207,35.41431216,29.15191494,35.41431216,34.07722225,35.41431216,34.19469466
it5,26.35589672,30.54591214,27.68669632,36.21002814,33.36067866,32.67817478,32.43189294
it6,25.70372817,28.12499975,27.24162443,37.4148886,31.79730796,34.72561188,31.8117599
it7,24.13834565,27.57469285,25.32322136,31.38564234,28.62664838,28.86686843,28.13246118
it8,21.63171556,25.54175545,24.00522335,30.78409695,25.17820069,29.19255866,27.99114879
it9,23.46173085,30.79431317,25.16273222,34.28372364,26.2335709,30.79431317,28.85256685
it10,27.46259203,31.46865075,28.99149737,33.67651536,32.25929717,31.46865075,30.62936397
it11,25.44615192,30.68548141,25.68136615,33.20277224,31.09593723,32.06358061,28.29247762
it12,27.57137945,32.88899739,28.343182,36.18550307,32.72341082,34.97661127,32.05594951
it13,19.78758028,24.30464514,21.62340307,33.63971587,26.90664454,30.31320398,28.3521485
it14,25.58074575,29.95358828,27.85808274,33.81977626,30.46037326,33.81977626,32.91389316
it15,21.12430609,23.25548783,21.69103314,31.90517379,26.42798293,29.37435284,24.41259876
it16,27.25383537,31.21673997,28.70929658,36.22503969,32.39068759,33.72168358,30.96951396
it17,28.07263974,32.77908239,28.5998819,34.06125254,31.78976267,32.77908239,31.28575374
it18,23.45768444,25.6579319,26.18359319,31.21196085,26.76711864,27.53402582,25.07376129
it19,23.62229515,27.42543238,24.29890315,35.1347666,29.05462921,35.1347666,31.90669811
it20,20.36219147,23.43268368,21.75034833,30.29357033,25.14559923,29.28316618,27.88953465
it21,30.06886553,34.41212725,32.97934932,35.48240413,33.9865752,34.41212725,35.13267241
it22,25.84540922,28.7788384,28.17012942,34.91774936,31.9311182,32.15002002,31.31635939
it23,21.45382656,25.89220977,21.47474733,32.97085549,27.41726854,30.34853904,28.32940372
it24,27.45982243,30.82128898,29.01379059,33.63359462,30.55047297,32.46761291,30.69046457
it25,21.31886683,25.46112074,23.39718275,30.39841042,27.85567783,30.39841042,28.79376546
it26,26.0843696,33.55277509,27.58076276,33.55277509,29.77202485,33.55277509,30.55368244
it27,26.81012168,33.48175945,31.18893951,33.48175945,30.59064923,33.48175945,29.7842166
it28,26.58497818,30.5563313,28.96969989,32.96311715,30.15998924,30.5563313,27.98183578
it29,21.94383138,26.17873257,23.62334951,32.00755461,25.09839145,30.93874757,29.52837742
it30,32.60507515,36.63797329,35.80774276,41.81449983,38.34219975,38.38593871,36.18334158
it31,25.05928526,32.29438901,28.18928017,33.31778465,29.94029876,32.29438901,30.72421379
it32,29.07064559,34.26647767,30.54999563,39.81551385,34.1143052,37.74072128,34.07571012
it33,18.98952779,25.28316541,22.15343828,27.96412932,23.64628663,25.28316541,22.71046268
it34,22.32050587,25.52287777,26.37205523,32.5880818,28.3484231,29.69158568,30.23896503
it35,24.41176614,28.6664959,28.63049866,32.73612618,29.9776217,32.73612618,29.06281277
it36,19.09973558,21.0452352,19.85290367,29.33524815,23.09629315,26.65984075,23.87489044
it37,19.35660391,23.58056792,20.09180353,32.38863883,26.52950248,27.15022889,23.24017318
it38,22.63142176,26.2806201,26.5246673,31.32456532,27.36228395,29.79981544,27.87402269
it39,15.32728892,21.53257958,18.74218909,21.53257958,21.00079475,21.53257958,20.86246539
it40,28.16643948,35.44539982,30.66419567,35.44539982,32.1001105,35.44539982,32.61747484
it41,29.06647242,34.3687272,31.47025341,35.37883401,33.07363025,34.3687272,32.98571454
it42,20.90205153,27.38360822,23.72625366,30.45916968,28.16920057,27.38360822,27.56168383
it43,22.54449987,24.94795485,24.69694061,32.93944004,25.89134147,28.35072615,26.60992603
it44,26.84639941,28.8680784,27.98412502,34.56219062,30.19228081,34.56219062,33.30007267
