,MSPP0,MSPP1,MSPP2,MSPP3,MSPP4,MSPP5,MSPP6
it1,31.92263884,37.82362423,32.81828698,53.25053926,36.45794675,45.74925629,43.49776786
it2,34.69600711,44.34569147,36.79772417,51.21541502,40.13457534,47.58783388,44.68051555
it3,27.6916254,38.79511278,30.56941086,49.71465037,34.93150739,39.29026141,34.09626024
it4,36.97990955,42.17386538,38.35889787,53.26481262,42.925812,51.82575571,46.63183261
it5,35.32025294,40.31719729,35.53815019,52.68034544,40.22686542,46.25323957,43.52122159
it6,34.31116981,39.80729167,35.92494324,53.86332173,39.73390223,51.17404502,44.39384655
it7,32.26295183,37.61524615,34.31815162,49.74767216,35.38463624,41.59924207,38.2751395
it8,29.81829935,36.71287503,31.12085879,47.95528787,33.76427416,40.31778866,36.57015854
it9,32.2416921,37.82270657,35.77658867,52.95813446,37.80125314,42.8413772,38.97962994
it10,36.26703182,42.39012767,37.81799152,50.24311817,38.60162789,46.62239802,40.79832626
it11,33.16990913,35.95125496,34.25636117,52.53712787,36.6582943,44.64411163,40.42441412
it12,35.93796558,42.26249664,37.03671607,53.01286436,40.35433523,49.48641374,41.99482867
it13,28.14239666,31.81037397,29.91877797,53.20555168,34.07480866,46.79079501,41.06876457
it14,31.77671127,37.97966787,32.8091144,52.1083248,36.05299047,45.44252255,42.68146302
it15,27.18618825,29.5665916,28.47735054,45.2205627,31.82892759,40.85505786,35.74887362
it16,35.49240389,41.09639096,39.22754676,52.97409242,40.51433084,48.1807339,43.123158
it17,36.34611374,41.25508657,37.88019348,50.37504149,40.45859902,47.73042421,41.03739596
it18,31.55761174,34.95905754,32.71888926,48.29284975,32.9571772,41.55122264,36.07226828
it19,30.33577196,32.75637692,31.89001449,53.98515041,33.67119114,44.45948481,43.33761495
it20,27.67975251,33.76620499,30.66009092,47.91356162,34.3412562,43.18548617,38.92521853
it21,39.0221251,44.32248732,42.93084256,52.21273454,43.19907356,49.84939218,48.55279119
it22,34.14673602,37.13037352,36.42156044,54.19267769,39.26115212,46.27949779,41.89863027
it23,29.9347368,33.14932631,30.57823872,51.36429216,32.63201137,45.66247324,38.11266279
it24,35.55869291,39.36173485,36.87469519,49.97530412,37.45766084,45.61906814,40.54495481
it25,28.24968435,33.09968357,31.50742285,45.79110431,34.33386729,43.9577505,37.71449745
it26,34.02641535,39.251768,35.84317593,48.88949776,38.58421054,45.93748416,40.35834065
it27,35.41996688,41.93671551,36.09313825,51.20741783,37.19184475,48.63902356,41.52724746
it28,36.09563679,42.55862129,38.82066693,51.18825566,42.21498057,47.14890815,40.07868983
it29,29.31153632,32.87709457,30.89076612,49.11604567,34.02071502,42.31699337,37.72968748
it30,42.97925451,52.19929058,44.31629559,62.07192926,49.19460141,54.33009442,49.11874555
it31,34.8311341,38.72763248,37.38335269,51.01445633,38.69444088,46.73934691,44.0418663
it32,39.84614872,42.83422502,41.41522775,59.29134816,42.9153123,52.75742571,49.8607427
it33,24.75539694,27.50650198,25.98443586,43.71493739,27.93971645,34.70870143,30.1128941
it34,29.80567718,31.411666,30.64255563,50.03782219,37.39201809,44.67500445,39.96292728
it35,33.28729622,37.13818159,34.17627254,53.11854247,37.71681432,45.0085765,41.81219351
it36,26.6276989,31.37931016,27.62705478,47.09319508,30.83271118,40.98804884,33.6570288
it37,27.72025234,31.71804729,28.69360885,51.54284946,31.42367831,40.16520686,34.8288827
it38,30.92332061,37.5783418,33.39289227,48.89416846,36.70386805,43.16308678,38.51941491
it39,21.57039687,32.22209844,23.21224829,33.2646929,27.45664859,33.2646929,27.78361446
it40,35.92736145,41.93713806,37.74167268,51.51320511,41.31006848,49.35422118,42.94336506
it41,40.55702384,48.43243279,40.91554733,55.06419985,43.98929993,52.4157341,48.15510641
it42,28.32024312,32.95963494,31.10391109,47.78392553,33.87976453,40.02028736,36.90886639
it43,30.21712916,35.02129171,31.75962874,50.11664016,33.74989041,43.15106249,36.81420881
it44,34.93612917,38.20523346,37.52759645,52.88701824,37.52759645,50.64702623,44.04012848
it45,34.89688689,39.07136584,38.08438167,51.76367224,38.32826953,48.12534435,39.39960133
it46,29.13825102,33.73964179,31.70305468,45.64941116,35.59457567,37.78505359,34.38039179
it47,32.76931189,40.38054508,34.79176161,47.92794826,36.79173934,39.82178629,37.74928894
it48,39.73770224,46.54262082,41.50036598,54.28976285,45.28057584,50.86069211,48.12192385
it49,31.88376135,40.61116612,32.63589447,51.5255641,40.19352118,46.2150669,45.35508339
it50,34.13859068,38.8345894,36.00751523,49.92843929,37.06423871,44.1183162,37.04336401
it51,37.02096953,43.89054799,38.91020974,54.57780167,40.68879802,47.59483291,43.64237313
it52,21.866272,28.00241185,24.1453031,42.87568366,27.56518202,37.31300255,32.58464096
it53,35.69607998,44.24512923,36.35857852,48.84906225,39.6704479,45.59942572,39.68130244
it54,40.98058951,43.8685585,42.10065749,56.3621474,45.08721307,51.40410481,47.90998046
it55,36.99265726,42.94531711,39.92483718,52.78242374,42.51217235,46.73639213,42.54216876
it56,32.19420316,41.94657195,34.92306344,51.24971085,35.26931306,45.64026409,44.57521119
it57,33.50915534,35.65575803,34.21828886,55.03447019,40.87926466,53.69843451,47.19267858
